Word	FREQ
0170	3597
0POS	3589
LAKELINE	3583
ALTAMONTE	3563
NEWNAN	3563
3POS	3540
CRK	3534
TOLEDO	3533
0920	3531
PARKWAY	3515
0736	3507
WELLINGTON	3499
275	3492
0717	3480
EASTCHASE	3473
PAYMENT	3458
0277	3451
VIL	3444
MCCAIN	3442
MIDLANDMIDLAND	3435
0407	3430
2POS	3421
PEARLAND	3400
BUFORD	3360
4POS	3352
994	3351
GRETNA	3339
EAST	3328
CTY	3327
PARKS	3309
BOISE	3305
SPRINGFIELD	3302
BAYBROOK	3289
CARY	3278
MCARTHUR	3271
170	3265
LAFAYETTE	3258
035	3256
PR	3237
CHARLES	3234
BOARDMAN	3233
0741	3229
MCC	3229
0405	3224
SANFORD	3214
BEACHWOO	3180
DAPHNE	3176
PEMBROKE	3168
ALBANY	3159
877	3150
272	3145
SOUTHAVEN	3139
770	3137
0904	3126
STAP	3125
15	3107
BROOMFIELD	3100
0910	3085
981	3071
796	3058
041	3043
716	3039
SOUTH	3028
NORTHPARK	3002
AT	2997
Withdrawal	2979
0416	2950
0201	2947
DOMAIN	2945
735	2941
RIDGELAND	2937
ROGERS	2927
CANTON	2922
0908	2916
GREENVILLE	2915
RALEIGH	2911
KNOXVILLE	2906
022	2901
727	2896
WILMINGTON	2896
ASHEVILLE	2891
MONROE	2887
UPTOWN	2884
DOUGLASVILLE	2882
CHEYENNE	2881
MAUMEE	2877
0749	2874
0758	2867
0981	2861
PORT	2859
WY	2855
SCOTTSDALE	2832
TXDEBIT	2806
CONVERTED	2785
367	2780
0768	2776
025	2774
0248	2768
SUGARLAND	2755
OXFORD	2749
0902	2748
0265	2731
0760	2727
MEMORIAL	2722
IRVING	2709
0433	2700
WOOD	2692
PAT	2691
0960	2686
418	2676
INTERNTL	2655
0925	2652
ALB	2646
733	2629
COLUMBIANA	2627
719	2620
0174	2618
0232	2614
INDN	2608
0164	2605
HATTIESBURG	2592
TXXXXXXX	2587
FAYETTEVILLE	2574
SHOPS	2540
242	2539
II	2539
LAKESIDE	2533
0909	2529
23	2517
174	2515
HENRY	2499
Bill	2497
0787	2494
0243	2487
VINCEN	2486
WILLOW	2483
0505	2472
993	2468
241	2443
0432	2440
EDGEWATER	2437
718	2435
LITHONIA	2434
0330	2418
ANTODEBIT	2412
WEB	2403
OLMST	2394
21	2386
704	2384
WINRO	2383
0942	2373
TEXARKANA	2367
BOWLING	2354
ATLANTICST	2353
SP	2350
MENTOR	2341
0709	2324
QUAIL	2316
SLIDELL	2316
COLLIERVILLE	2303
701	2302
VICTORIA	2301
364	2300
GOVERNRS	2295
0944	2293
014	2276
BROWNSVILLE	2274
SQR	2271
CHATTANOOGA	2248
VERO	2245
24	2241
PALMDALE	2239
22	2228
738	2224
GECRB	2220
VILLAGE	2217
XXXXXXXX	2217
RIVER	2207
371	2206
STONEBRIAR	2204
SANTAN	2197
20	2175
SMITH	2174
SUMMIT	2169
CHESTERFIELD	2166
16	2161
XXXXXXXXXXX	2157
777	2152
0264	2150
230	2147
PETERSBUR	2145
0162	2144
0514	2143
19	2143
PRESCOTT	2143
SUGAR	2143
015	2126
726	2110
779	2110
18	2109
426	2103
0798	2102
26	2099
FE	2098
HARLINGEN	2098
731	2094
FLAGSTAFF	2091
0748	2089
CLAIR	2089
AURORA	2087
0784	2059
MT	2058
ZONA	2058
FAYETTE	2056
STACOLLEGE	2055
774	2052
RENO	2049
FIREWHEEL	2043
736	2042
PUEBLO	2038
COTTONWOOD	2036
0268	2033
PIER	2030
PERIMETER	2024
0247	2023
NORTHOLMSTEA	2023
SOUTHPAR	2023
730	2014
0795	2000
STRONGSVILL	1999
0941	1997
ABILENEABILENE	1995
0306	1992
MYRTLE	1992
374	1989
SHORT	1986
SARASOTA	1974
OVIEDO	1971
0391	1969
17	1968
017	1967
DEERBROOK	1966
714	1961
MURFREESBORO	1955
171	1949
734	1941
STRONGSVILLE	1940
799	1936
VIRGINIA	1926
PINEVILLE	1922
775	1917
SPRN	1910
28	1905
27	1903
MATTHEW	1894
GREE	1892
ATM	1890
711	1880
NAPLES	1879
TOW	1877
051	1867
RIDGMAR	1867
GOODLETTSVIL	1865
DEL	1861
0740	1856
CROS	1850
MEADO	1849
TOWN	1844
Dillard	1840
BILL	1823
AVENUES	1822
0792	1815
0171	1806
504	1806
HOT	1802
WOODLAND	1788
FARMINGTON	1779
717	1770
783	1770
387	1765
071	1762
798	1762
771	1761
LYNNHAVEN	1758
FLUS	1755
PXXXXXX	1754
792	1751
0324	1749
WOODL	1749
795	1745
376	1743
GREENSBORO	1743
TRICOUN	1740
746	1727
WICHITAWICHITA	1713
HAMMOND	1709
OGDEN	1704
SOUTHERN	1699
BEN	1692
0453	1689
0766	1689
0778	1680
BEACVA	1678
30	1677
0208	1673
VIS	1672
29	1667
CITRUS	1662
0253	1661
PARADISE	1660
XXXXX2601	1658
0767	1657
204	1657
0336	1650
924	1648
LAUDERDAL	1637
s	1634
To	1629
PAY	1620
MARKET	1618
WILLOWBROO	1618
GAINESVILLE	1617
460	1612
Q	1612
PUMP	1611
728	1610
WOODDEBIT	1610
SHOPPES	1605
786	1604
0506	1598
0911	1592
NASHVILLDEBIT	1592
OCALA	1591
GALLERIA	1586
172	1582
0419	1577
0934	1577
267	1575
378	1574
0176	1571
HOUMA	1571
CHRISTTX	1569
GREENBRIER	1567
0918	1540
0511	1536
ATLANT	1536
STA	1536
239	1534
CLEMSON	1534
Online	1534
356	1533
Transaction	1527
GREEN	1526
PRIEN	1524
ANDERSON	1523
914	1522
25	1521
INDEPENDEN	1514
SPANISH	1513
JEFFERSON	1512
0260	1510
MONTGOMEDEBIT	1509
XXXXXXXXXXXX	1508
0436	1505
246	1504
HI	1504
907	1501
OAKS	1501
PINE	1501
016	1497
COOLSPRING	1492
MURRAY	1492
0411	1490
0425	1488
0234	1487
0322	1487
PA	1487
0794	1486
0172	1481
0314	1478
ACADIANA	1478
PETERS	1474
729	1470
050	1465
0710	1459
335	1453
0203	1451
0343	1450
0421	1449
LAKELAND	1447
NORTHPOINT	1447
INDEPENDENCE	1446
0987	1445
OAKWOOD	1445
MEADOW	1439
0762	1438
FRONTIER	1435
373	1431
FIRSTCOLON	1431
U	1421
WOLFCHASE	1417
STATIO	1415
WOODLANDSTX	1411
ESTHER	1404
EASTGATE	1403
742	1400
744	1400
STONY	1389
ASHLEY	1383
PARKDALE	1380
PALMS	1375
021	1374
MERRITTISLAN	1373
BELDEN	1372
0408	1367
LAXXXXXX	1346
708	1344
PLANTATION	1344
ADEBIT	1342
073	1340
362	1340
780	1337
BLUFF	1326
MISSOULA	1326
ESTERO	1324
FALLENTI	1322
201	1320
GREENHILLS	1320
VIEW	1320
SPRINGFIEL	1319
0916	1317
STONEBRIA	1317
PUR	1312
TELSINGLE	1312
0266	1310
0507	1308
760	1308
MERIDIAN	1305
921	1302
LINE	1300
352	1299
0237	1294
VOLUSIA	1294
VALLE	1292
0759	1286
926	1286
WST	1285
0403	1282
SOUTHLAND	1282
042	1275
SANDY	1270
MUSKOGEE	1269
0221	1268
TURTL	1264
077	1258
NILES	1255
MADISON	1253
PINNACLE	1253
987	1239
JONESBORO	1236
STOCKTON	1233
AUTHORIZED	1231
768	1230
COUNTRYSID	1229
FROM	1226
0166	1222
HARLINGEDEBIT	1218
31	1215
HILLCOUNTR	1212
LINCOLN	1212
PLA	1211
919	1209
0179	1206
9069	1205
CREE	1201
747	1200
LAND	1194
METAIRIE	1194
0262	1191
14ATM	1191
715	1191
0261	1187
0206	1186
074	1185
MCALISTER	1180
PADUCAH	1179
SPRINGS	1177
306	1175
DEB	1174
915	1172
POIN	1172
TYRONE	1170
SEMINOLE	1164
TXUS	1160
0961	1158
040	1155
0501	1153
0999	1150
SUPERSTITN	1147
SALINA	1146
0229	1145
REGENCY	1144
TR	1144
EASTERN	1143
705	1141
WEBRECUR	1140
343	1129
CR	1129
WORTDEBIT	1129
BOYNTON	1125
395	1122
0428	1121
0161	1118
BLS	1116
0235	1110
RICHLAND	1110
SUNRISE	1110
JACKSONVDEBIT	1109
322	1106
176	1103
AIKEN	1102
FIRST	1102
PROVO	1100
233	1099
WINSTON	1096
265	1094
MOINES	1094
FAYETTEVIL	1086
WINTER	1079
0763	1077
VI	1076
405	1074
ANTELOPE	1070
749	1069
0224	1064
090	1063
743	1062
FALLS	1057
0150	1055
0912	1054
PYMNT	1049
072	1047
0949	1046
264	1045
248	1044
MERRITT	1039
0156	1037
274	1035
330	1033
FOREST	1031
SPARTANBURG	1029
FALLSTX	1028
0226	1017
324	1016
BROWNSVIDEBIT	1014
RID	1005
RIVE	1003
0435	1001
SHAWNEE	998
417	997
TRIANGLE	997
HEIGIL	995
HAMILTON	992
CARRIAGECR	991
COUN	991
PEMBROKPEMBROKE	987
STONECREST	987
MYERS	985
RIVERGATE	980
PARKKS	979
0263	977
0140	975
BROWNSVILL	975
0430	974
EASTDALE	969
PARDEBIT	967
JACKSON	964
0205	958
BB	957
PXXXXXXXXXXXXXXXXX	957
JUBILEE	951
SYNCB	950
9130	949
BRAZOS	949
SOUTHGATE	947
OCOEE	938
NORTHSHORE	930
0412	929
BARTLESVILLE	928
896	926
745	925
FEED	920
712	918
0502	913
0409	910
0251	902
VICKSBURG	900
0256	899
DAVENPORT	899
0252	897
HIGH	896
NORTHLAKE	895
0301	894
US	893
425	883
MEAD	877
LADEBIT	876
0906	875
SHERMAN	873
0422	870
Z	865
925	859
902	858
WILLOWBRO	858
0153	857
ARTHUR	855
STONE	854
091	851
	850
092	850
LEWISVILDEBIT	848
CAVEDEBIT	847
SIX	845
BURLINGTON	843
EVANSVILLE	841
0931	833
SUMMITSIER	831
904	828
0437	822
xxxxxxxxxxxXXXXX	822
COASTAL	820
164	819
0276	818
778	817
407	816
027	815
515	815
AZXXXXXX	815
277	813
MUSIC	811
FOUR	808
RITCHIE	805
0512	800
0141	791
0312	791
0737	791
GASTONIA	790
260	787
748	786
CORALVILLE	786
247	784
FRIENDSWODEBIT	784
079	778
UNIVERSITY	777
791	776
AND	776
396	775
920	774
VAUS	772
541	769
800	769
385	766
FIESTA	766
0427	763
758	760
CAROLINA	760
0510	758
VILLA	756
LITTLETODEBIT	753
0917	749
90DEBIT	748
741	745
ANGSAN	743
908	742
CENTRO	742
HENDERSHENDERSON	741
070	738
432	736
0151	735
0163	735
IDAHO	734
NEWGATE	731
266	723
0415	721
BILLINGS	719
0930	717
FAIRVIEWDEBIT	717
206	713
433	713
GR	713
ARLINGTODEBIT	710
HILKY	709
0765	708
203	708
709	707
KENNER	706
421	705
CHEVRON	705
0222	703
COURT	703
CTR	702
EUCLID	701
0413	700
301	696
Sale	696
ALDEBIT	693
0387	689
982	686
NORT	686
375	685
HICKORY	685
GARDENFL	684
Electronic	682
336	681
910	681
METRO	680
787	678
STATITX	678
GRAND	675
Trace	675
0323	674
LOC	674
0982	673
208	671
237	670
179	669
CENTRAL	668
0937	667
Date	667
Point	667
0922	662
FLORENCE	662
PT	662
411	661
0061	659
LAK	659
0932	658
140	658
CASA	656
232	649
BONITA	647
FASHIONLAS	647
MEALAS	646
SDEBIT	646
0144	644
0923	641
784	639
0238	637
235	637
221	636
CI	636
EASTWOOD	635
ELECTRONIC	635
HOUSE	629
13ATM	627
0791	623
762	622
JOSEPH	622
162	617
CREDIT	617
767	616
TURTLECREE	616
HAVASU	615
0509	614
302	612
COLONIAL	611
984	608
HUNTSVILDEBIT	608
GRANDE	606
PDALLAS	606
GEORGE	605
0518	604
FLAGS	604
0410	602
0331	600
0340	600
DBT	595
243	591
0992	588
SPRING	588
SEASO	585
CENT	584
MERCHANT	583
VISA	582
0402	580
076	575
JORDAN	575
MOLINE	573
ARROWH	571
430	570
COUNCIL	564
TREASUR	564
BROWARD	563
428	557
CS	555
0406	554
SUMMERLIN	553
INC	551
FLXXXXXX	549
WESTGATE	549
766	548
MARION	547
261	546
314	546
CDEBIT	546
CHAPELFL	545
CHARLESSC	544
COCONUT	544
0212	542
0236	542
purchase	541
268	540
256	537
150	536
MAUMELLEDEBIT	536
422	535
GAUS	533
238	531
0939	530
RIDG	530
205	529
WALES	528
PIGGLY	522
WIGGLY	521
0227	520
0344	519
941	519
WORDEBIT	519
MID	517
0396	514
046	514
253	508
FASHIO	508
0764	506
0148	504
GRE	502
JEFFERSO	502
WithdrawalDILLARDS	502
0218	501
ARTDEBIT	500
GREENWOO	500
WEBERSTOWN	500
436	499
SOUTHWEST	497
043	494
262	493
FLATIRON	489
MESQUITEDEBIT	489
EDISON	487
J	487
PEACHT	487
With	487
PENSACOLDEBIT	484
Pin	484
0302	481
0513	480
GOODLETTSVILLTN	480
Dec	479
0395	478
NORTHEAHURST	478
0984	476
VALLEY	474
GALLERIFT	471
141	470
156	470
794	469
918	469
224	468
GATEWAY	468
505	467
992	465
094	463
HANES	462
409	459
xxxxxxxxxxXXXXX	459
161	457
JACDEBIT	455
TREE	455
Credit	453
0145	451
0209	451
408	451
NORTHE	450
0713	449
BLUF	449
BROWARDPLANTATION	448
0215	445
031	444
0216	443
740	441
710	439
0168	438
942	438
2013	432
944	430
SOUTHPARK	429
ALBUQUERDEBIT	428
STONEBRFRISCO	428
PN	424
0167	423
0165	421
763	421
CHESTERFIE	421
909	418
WITHDRWL	418
416	416
HERITAGE	416
0962	415
934	415
BARTLESVIL	413
BROOMFIELDEBIT	413
Of	413
0348	411
427	411
506	411
226	410
CIELO	410
GREENWOOD	408
HALL	406
419	405
WEBERSTSTOCKTON	405
AVENU	404
0225	403
737	403
153	402
514	401
236	400
BILTMORE	400
CAFE	400
HIDEBIT	400
STATI	399
163	395
0309	394
384	394
WOODLA	394
BROADWAY	392
0384	391
0207	390
0520	390
0404	389
2014	389
DATE	389
PETERSBURFL	389
PLAC	388
0351	385
166	385
0933	383
999	383
BEACHFL	383
032	382
960	381
263	379
Non	379
pos	376
KILLEE	373
251	372
BEA	372
TYPE	372
0365	371
Y	371
0214	368
PNCPA3545	367
0385	366
CLECLEMSON	363
WESTRIDGE	362
GLENDALEAZ	360
0334	358
034	358
ARTHU	357
234	356
AN	356
TREASURE	352
EASTLAND	351
LONGMONT	351
pin	351
033	349
403	349
SIKES	349
435	348
ROUG	348
0508	346
PROMENADE	346
dillards	345
GULFVIEW	345
PM	344
SHOP	344
0793	343
PARADI	343
RED	341
SCOTTSDADEBIT	339
212	338
STORE	338
WELLINGT	338
151	337
ALUS	337
NBR	336
0790	335
0936	335
MCARTH	334
OLMSTEDOH	334
CORAL	332
0414	330
STONEB	330
252	329
0146	328
GOLDEN	328
terminal	328
244	327
HASTY	325
MART	325
STJOHN	325
216	324
765	324
GLENDALEDEBIT	323
453	322
512	322
LEWISVILEWISVILLE	321
CE	319
8110	317
PARARLINGTON	317
WOODLANWOODLANDS	317
AZUS	315
CAN	315
0142	314
0346	314
1752	314
WINROCK	314
276	313
0928	312
DDA	312
0311	311
TETO	310
FAIRVIEFAIRVIEW	307
ARLINGTONTX	304
ISLAND	304
0517	303
344	302
340	301
0152	298
ATLANTIC	297
312	296
229	295
SPRFL	295
WESTOAK	294
410	293
WESTOAKS	293
XXXXX9049	293
309	292
ISLANFL	292
Less	292
More	292
911	290
PINEFL	290
0143	288
961	288
LUBBOCKLUBBOCK	288
OKXXXXXX	288
STJO	288
ALAMANCE	287
CORDOV	286
0355	284
503	284
WATERLOO	284
509	282
MAUMELLE	282
CUPBOARD	281
CHESTERF	280
MACA	280
PAS	280
0394	279
ML	278
222	277
MESILLA	277
331	276
CLIFFS	276
EAGLE	275
IMPERIAL	275
LAUS	275
SSAN	274
0305	273
0317	273
BAYBRO	272
CANTSAN	272
CHESTERFIEL	272
LAKESI	271
WF	270
COXXXXXX	269
MEMORI	269
FIRSTC	268
218	267
HE	267
of	267
0349	266
144	266
511	266
759	265
ESPLANDE	265
HOLLOW	265
SUNSET	265
165	264
FIREWHEGARLAND	264
0244	263
305	263
214	262
793	262
WARD	261
0122	260
RIVERS	260
0373	259
GARDEN	259
STJOHNSJACKSONVILLE	259
0797	258
394	258
RD	258
510	256
0519	255
CLAYTON	255
SCUS	255
SPRI	255
0376	254
949	254
1049	253
359	253
merchant	251
FREDS	248
148	247
412	247
CRUCDEBIT	247
TO	246
AUGUST	245
323	244
PERIME	244
SOUT	243
0996	242
CNTY	242
INTERNAT	242
Purchasedebit	242
TERMINAL	241
Jan	240
MOINIA	239
QUINTARD	238
093	237
797	237
Nov	237
0364	236
CITADE	236
FAIRVIEWTX	236
INDIAN	235
NORTHP	234
MEMORIAHOUSTON	232
WILLOWBHOUSTON	232
507	231
EASTRIDGE	231
FIRSTCOSUGARLAND	231
FLORIDA	231
078	229
922	229
MESQUITMESQUITE	229
GARDE	228
TX12	227
BLUFFS	226
0310	225
LYNN	224
PEAC	224
ROS	224
COLUMB	223
764	222
SUNLAN	222
346	221
AVENUE	221
LEWISV	221
930	220
CHANDL	220
075	218
0367	216
SO	216
TIME	216
seq	215
CODEBIT	213
COUNTRYS	213
GREENKY	212
099	211
PKWY	211
0210	210
MELBOURN	210
OAHOUSTON	210
SXXXXXXXXXXXXXXX	210
916	209
GOVERN	208
0371	207
XXXXXXXXXXXXXXXXXX	207
413	206
NORTHPAR	206
790	205
HILLCO	205
RIDGMARFORT	205
2	204
932	203
CORD	201
DB	201
501	200
MACARTHU	200
SUPERS	200
FAIRVI	199
FLORENCEDEBIT	198
WORTHTX	198
437	197
BANK	197
GEMB	197
TNUS	197
WEBERSTOW	197
145	196
Authorized	196
BEAUMO	196
LAFAYETTELA	196
BE	195
BRANDONBRANDON	195
0929	194
COTTONWOO	194
HENDER	194
0345	192
RI	192
348	191
COLLIN	191
LUBBOC	191
PDEBIT	189
STOCKTONDEBIT	188
000	187
FEE	187
GREENB	187
SUGARLANDTX	187
227	186
HAVAS	186
CENTER	185
Feb	185
ASHEBORO	184
LYNNHA	184
3	183
FALLENTMBR	183
Pmt	183
dillard	182
LYNNHAVE	182
225	181
FC	180
LOGAN	179
STONEBRI	179
BRAN	178
INTE	177
MIDLAN	177
TRI	177
Web	177
931	176
BRANDO	176
0378	175
WO	175
996	174
LAKELI	174
PATRICK	174
PO	174
ROLLIN	174
ST1049	174
SUPERSTIT	174
date	173
PI	173
RECURRINGxxxxxxxxxxxXXXXX	173
EASTCH	171
MESQUI	171
912	170
Mar	169
939	168
WILTON	168
GREENSPOI	167
OAKWOO	167
ME	166
508	165
937	165
BBQ	165
DEERBR	165
917	164
5	163
STON	163
BROWNS	162
00	161
FIREWH	161
167	160
SAVANN	160
PAYMENTECHECK	159
STR	159
AVENUESJACKSONVILLE	158
BAYBROOFRIENDSWOOD	158
MANHAT	158
0123	156
DC	156
PERIMETE	156
SOONER	156
0352	155
BOYNTO	155
STPETERSBUR	155
152	154
ACADIA	154
RIDGMA	154
PEARLA	153
CHANDLERAZ	152
FORUM	152
0896	151
COTTON	151
FTLAUDERDAL	151
NCUS	151
PEARLANDTX	151
0374	150
406	150
0347	149
502	149
ANTELOPPALMDALE	149
ESTDEBIT	149
0362	148
624	148
ALTERAT	148
COUS	147
AVEN	146
STRESO	146
1	145
CheckCard	145
CheckPAYMT	145
0158	144
DIR	144
GREENSPOIN	144
Checking	143
XXXXXX7406	143
215	142
TXUS0015	142
WESTFIEL	141
801	139
MEDIA	139
MIKE	139
PE	139
SEED	139
SIERR	139
TERM	139
CHECKPAYM	138
CITA	138
CITGO	138
INTERN	138
USA	138
GECRBDILLARDS	137
TX11	137
402	136
517	136
55	136
CEN	136
PURCH	136
311	135
415	135
GULF	135
INTERNTINTERNATIONA	134
KSUS	134
MAT	134
UTXXXXXX	134
FOOD	133
to	133
WIREGR	133
WOODLAN	133
310	132
923	132
BAN	132
LAUDERDALFL	132
NASHVILL	132
SALEMNC	132
209	131
COASTLAN	131
PXXXXXXX	131
143	130
AI	130
WIREGRA	130
9	129
MAIN	129
WIREGRAWESLEY	129
713	128
MESQUITETX	128
0356	127
0818	127
MCALIS	127
PATR	127
STONEC	127
TEL	127
207	126
visa	126
COUNTY	125
WEATHERFORDEBIT	125
0375	124
1523	124
BRAVO	124
CHAP	124
ok	124
441	123
520	123
CABANA	123
CITMO	123
GAINESVIDEBIT	123
CHARLOTTFL	122
NEW	122
OIL	122
AUGU	121
card	121
EAS	121
519	120
REEVES	120
signature	120
GOVE	119
PAYPAL	119
UNIVERSI	119
WEATHERFORD	119
317	118
CONESTOGA	118
L340	118
STXXXXS	118
VDEBIT	118
YOUNGSTOWN	118
142	117
1447	117
CAVETX	117
CHRIST	117
eff	117
INTERNT	117
PADR	117
1514	116
DEERBROHUMBLE	116
JACKSONVILL	116
WD	116
40	115
ORAN	115
XXXXXXXVILLE	115
auth	114
Code	114
EDGEWA	114
FLDEBIT	114
MSUS	114
prchs	114
PU	114
RICHEY	114
962	113
SEMINO	113
HWY	112
098	111
from	111
SQUA	111
WITHDRAW	111
168	110
AVE	110
NORTHEAS	110
PRICHMOND	110
REGENC	110
SUWANEE	110
TX09	110
withdrawal	110
0101	109
936	109
CKFXXXXX4431POS	109
COLU	109
OR	109
WithdrawalDILLARD	109
1001	108
35	108
MCALLE	108
TX10	108
ABILEN	107
BOYNTONBOYNTON	107
Entry	107
HILLCOUBEE	107
INTERNET	107
WEBERS	107
with	107
ACE	106
CROSSROADS	106
MLM	106
RO	106
7	105
933	105
ATLANTIATLANTA	105
LKXXXXXXXX	105
COASTA	104
NVUS	104
PEACHTRE	104
